district,area,production,yield,crop_type,season,districe,first_rain_date,last_rain_date,mean_dry_spell_length,total_rainfall,rainy_days,average_tmax,average_tmin,average_humidity,first_rain_category,last_rain_category,yield_calculated,district_encoded,season_encoded,crop_type_encoded
Chhota Udaipur,166.35,202.9328265,1219.9147971145171,TOTAL RICE,2016,Chhotaudepur,2016-06-15,2016-10-10,12.166666666666666,795.2,110,30.65956284153005,22.719672131147544,73.91256830601093,on_time,on_time,1.2199147971145177,8,0,4
Narmada,133.66,71.6226132,535.8567499625917,TOTAL RICE,2016,Narmada,2016-06-15,2016-10-12,14.4,874.1999999999999,111,31.342622950819667,23.618032786885248,74.5792349726776,on_time,on_time,0.5358567499625917,21,0,4
Bharuch,90.3,154.20839970731998,1707.7342160279068,TOTAL RICE,2016,Bharuch,2016-06-15,2016-10-11,11.285714285714286,878.3,104,31.48142076502732,23.83606557377049,74.42622950819673,on_time,on_time,1.7077342160279068,5,0,4
Surat,444.69,1119.8332025832854,2518.2333818689094,TOTAL RICE,2016,Surat,2016-06-15,2016-10-10,12.833333333333334,1055.0,106,30.153551912568307,24.80163934426229,75.75409836065573,on_time,on_time,2.5182333818689093,28,0,4
Dang,222.05,536.4128465,2415.73,TOTAL RICE,2016,Dang,2016-06-11,2016-10-09,13.2,752.5000000000001,117,29.93715846994536,23.05136612021857,75.77049180327869,on_time,on_time,2.41573,10,0,4
Navsari,602.41,1596.5638054153296,2650.294326812851,TOTAL RICE,2016,Navsari,2016-06-12,2016-10-10,8.75,1059.3,113,30.020765027322405,24.536612021857923,76.60655737704919,on_time,on_time,2.650294326812851,22,0,4
Valsad,820.71,2221.15245687996,2706.3791800757385,TOTAL RICE,2016,Valsad,2016-06-01,2016-10-10,15.25,1507.6,122,29.281420765027324,24.816939890710383,77.90163934426229,early,on_time,2.7063791800757393,32,0,4
Tapi,570.57,1518.5732859730783,2661.502157444447,TOTAL RICE,2016,Tapi,2016-06-10,2016-10-10,13.4,751.1,116,30.61857923497268,23.55409836065574,75.63387978142076,on_time,on_time,2.6615021574444473,30,0,4
Kutch,534.49,1171.2306686,2191.3051106662424,TOTAL GROUNDNUT,2016,Kachchh,2016-06-22,2016-10-05,8.714285714285714,345.0,61,32.63333333333333,23.967759562841533,69.5846994535519,on_time,early,2.1913051106662422,17,0,3
Patan,7.85,12.9462,1649.1974522292996,TOTAL GROUNDNUT,2016,Patan,2016-06-12,2016-10-07,6.6,552.3,84,32.125683060109296,23.293442622950824,69.34972677595628,on_time,early,1.6491974522292994,24,0,3
